"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".D.I"	""	1	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"I"	""	2	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"ii"	""	3	1.5	"D"	"I"	""	"ii"	""	""	""	""	false
"V"	""	4	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	""	5	1.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	5	3.0	"D"	"I"	""	"I"	""	""	""	""	false
"ii"	""	7	1.0	"D"	"I"	""	"ii"	""	""	""	""	false
"V"	""	8	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"V9"	""	9	1.0	"D"	"I"	""	"V"	""	"9"	""	""	false
"#viio7/ii"	""	10	2.5	"D"	"I"	""	"#vii"	"o"	"7"	""	"ii"	false
"ii"	""	11	2.5	"D"	"I"	""	"ii"	""	""	""	""	false
"v"	""	11	3.0	"D"	"I"	""	"v"	""	""	""	""	false
".bVII6"	""	12	2.5	"D"	"I"	""	"bVII"	""	"6"	""	""	false
"vii%7/IV"	""	13	1.0	"D"	"I"	""	"vii"	"%"	"7"	""	"IV"	false
"IV"	""	13	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"ii6"	""	13	3.0	"D"	"I"	""	"ii"	""	"6"	""	""	false
"IV6"	""	14	2.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"vii%7"	""	15	1.0	"D"	"I"	""	"vii"	"%"	"7"	""	""	false
"I"	""	15	2.5	"D"	"I"	""	"I"	""	""	""	""	false
"IV(#72)"	""	16	1.0	"D"	"I"	""	"IV"	""	""	"(#72)"	""	false
"ii"	""	16	2.0	"D"	"I"	""	"ii"	""	""	""	""	false
"V7"	""	16	2.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I(+#74+2)"	""	17	1.0	"D"	"I"	""	"I"	""	""	"(+#74+2)"	""	false
"I\\\\"	""	17	2.5	"D"	"I"	""	"I"	""	""	""	""	true
"iiio"	""	18	1.0	"D"	"I"	""	"iii"	"o"	""	""	""	false
"#viio43/ii"	""	19	1.0	"D"	"I"	""	"#vii"	"o"	"43"	""	"ii"	false
"ii6"	""	19	2.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"#viio43/ii"	""	20	1.0	"D"	"I"	""	"#vii"	"o"	"43"	""	"ii"	false
"vii%43/IV"	""	21	1.0	"D"	"I"	""	"vii"	"%"	"43"	""	"IV"	false
"IV6"	""	21	2.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"ii"	""	22	1.0	"D"	"I"	""	"ii"	""	""	""	""	false
"V9"	""	23	1.0	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	23	2.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"V9"	""	24	1.0	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	24	1.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"V9"	""	24	2.5	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	24	3.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"V9"	""	25	1.0	"D"	"I"	""	"V"	""	"9"	""	""	false
"V2"	""	25	1.5	"D"	"I"	""	"V"	""	"2"	""	""	false
"I6"	""	25	3.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV(#7)"	""	26	1.0	"D"	"I"	""	"IV"	""	""	"(#7)"	""	false
"ii"	""	26	2.0	"D"	"I"	""	"ii"	""	""	""	""	false
"V7"	""	26	2.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	27	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"I6"	""	27	2.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	28	1.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"V65"	""	28	2.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	29	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"vi"	""	29	2.5	"D"	"I"	""	"vi"	""	""	""	""	false
"IV(4)"	""	30	1.0	"D"	"I"	""	"IV"	""	""	"(4)"	""	false
"ii6"	""	30	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V"	""	30	2.5	"D"	"I"	""	"V"	""	""	""	""	false
"I\\\\"	""	31	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"I6"	""	31	2.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"V2"	""	32	1.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"V65"	""	32	2.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	33	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"vi"	""	33	2.5	"D"	"I"	""	"vi"	""	""	""	""	false
"IV(4)"	""	34	1.0	"D"	"I"	""	"IV"	""	""	"(4)"	""	false
"ii6"	""	34	1.5	"D"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	34	2.5	"D"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	35	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"IV6"	""	35	3.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V6"	""	36	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	36	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	""	36	2.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	36	3.5	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	37	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	37	3.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"V6"	""	38	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	38	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	""	38	2.5	"D"	"I"	""	"I"	""	"6"	""	""	false
