mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	1/4	1/4	4/4	4	1	b.i	-1.3	-5.02046	/	b	i		i	i							m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	1.0	0.0
1	0	1/2	1/2	4/4	4	1	V6	0	-3.95627	/	b	i		V6	V		6					M	1	1	10, 7, 6		6	10	0	4	0.0	0.0	1.0	0.0
2	1	1/8	1/8	4/4	4	1	V	0	-3.84425	/	b	i		V	V							M	1	1	6, 10, 7		6	6	2	2	0.5	0.1875	0.1875	0.5
2	1	1/2	1/2	4/4	4	1	V65				b	i		V65	V		65					Mm7	1	1	10, 7, 4, 6		6	10	1	4	0.2	0.0625	0.5625	0.1
3	2	0	0	4/4	4	1	iio				b	i		iio	ii	o						o	1	1	7, 4, 1		7	7	1	3	0.25	0.125	0.5	0.2
3	2	1/2	1/2	4/4	4	1	iio65				b	i		iio65	ii	o	65					o7	1	1	4, 1, -2, 7		7	4	1	3	0.25	0.125	0.5	0.2
4	3	0	0	4/4	4	1	i6				b	i		i6	i		6					m	1	1	2, 6, 5		5	2	0	1	0.0	0.0	0.25	0.0
4	3	1/4	1/4	4/4	4	1	i				b	i		i	i							m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	1.0	0.0
4	3	1/2	1/2	4/4	4	1	i\\				b	i		i	i						\\	m	1	1	5, 2, 6		5	5	1	5	0.16666666666666666	0.0625	0.9375	0.0625
4	3	3/4	3/4	4/4	4	1	V6				b	i		V6	V		6					M	1	1	10, 7, 6		6	10	0	2	0.0	0.0	0.25	0.0
5	4	0	0	4/4	4	1	i				b	i		i	i							m	1	1	5, 2, 6		5	5	2	3	0.4	0.1875	0.4375	0.3
5	4	1/2	1/2	4/4	4	1	V				b	i		V	V							M	1	1	6, 10, 7		6	6	1	4	0.2	0.125	0.375	0.25
6	5	0	0	4/4	4	1	i6				b	i		i6	i		6					m	1	1	2, 6, 5		5	2	1	4	0.2	0.0625	0.5625	0.1
6	5	1/2	1/2	4/4	4	1	#vio65	0	-5.45217	/	b	i		#vio65	#vi	o	65					o7	1	1	5, 2, -1, 8		8	5	1	5	0.16666666666666666	0.0625	0.5625	0.1
7	6	0	0	4/4	4	1	V				b	i		V	V							M	1	1	6, 10, 7		6	6	0	1	0.0	0.0	0.75	0.0
7	6	1/4	1/4	4/4	4	1	V65				b	i		V65	V		65					Mm7	1	1	10, 7, 4, 6		6	10	3	0	1.0	0.75	0.0	1.0
7	6	1/2	1/2	4/4	4	1	i\\				b	i		i	i						\\	m	1	1	5, 2, 6		5	5	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
7	6	3/4	3/4	4/4	4	1	VII.ii65				b	VII		ii65	ii		65					mm7	1	0	2, 6, 3, 5		5	2	2	3	0.4	0.3125	0.6875	0.3125
8	7	0	0	4/4	4	1	V7(4)				b	VII		V7(4)	V		7	4				Mm7	1	0	4, 3, 5, 2		4	4	2	4	0.3333333333333333	0.5	0.875	0.36363636363636365
8	7	1/8	1/8	4/4	4	1	V7				b	VII		V7	V		7					Mm7	1	0	4, 8, 5, 2		4	4	11	3	0.7857142857142857	1.0625	0.1875	0.85
8	7	1/2	1/2	4/4	4	1	V43	0	-3.42448	/	b	VII		V43	V		43					Mm7	1	0	5, 2, 4, 8		4	5	28	14	0.6666666666666666	2.9375	0.4375	0.8703703703703703
9	8	5/8	5/8	4/4	4	1	V2	0.344334	-4.91034	/	b	VII		V2	V		2					Mm7	1	0	2, 4, 8, 5		4	2	3	1	0.75	0.375	0.125	0.75
9	8	3/4	3/4	4/4	4	1	I6	0.114778	-4.10689	/	b	VII		I6	I		6					M	1	0	7, 4, 3		3	7	5	3	0.625	0.625	0.375	0.625
10	9	0	0	4/4	4	1	IV				b	VII		IV	IV							M	1	0	2, 6, 3		2	2	3	1	0.75	0.375	0.125	0.75
10	9	1/8	1/8	4/4	4	1	V65/V	-0.114778	-3.99211	/	b	VII		V65/V	V		65		V			Mm7	1	0	9, 6, 3, 5		5	9	7	3	0.7	1.375	0.625	0.6875
10	9	5/8	5/8	4/4	4	1	V(64)				b	VII		V(64)	V			64				M	1	0	4, 3, 7		4	4	3	1	0.75	0.875	0.125	0.875
10	9	3/4	3/4	4/4	4	1	V7	0	-3.533	/	b	VII		V7	V		7					Mm7	1	0	4, 8, 5, 2		4	4	4	0	1.0	0.625	0.0	1.0
11	10	0	0	4/4	4	1	V7/IV				b	VII		V7/IV	V		7		IV			Mm7	1	0	3, 7, 4, 1		3	3	4	2	0.6666666666666666	0.5	0.25	0.6666666666666666
11	10	1/4	1/4	4/4	4	1	iiio2				b	VII		iiio2	iii	o	2					o7	1	0	-2, 7, 4, 1		7	-2	7	0	1.0	1.25	0.0	1.0
11	10	3/4	3/4	4/4	4	1	I				b	VII		I	I							M	1	0	3, 7, 4		3	3	2	3	0.4	0.25	0.375	0.4
