mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.D.I	D	I		I		I						M	0	0	0, 4, 1		0	0
2	2	0	0	2/2	1	1	V7	D	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	3	0	0	2/2	1	1	I(4)	D	I		I(4)		I			4			M	0	0	0, -1, 1		0	0
3	3	1/8	1/8	2/2	1	1	I	D	I		I		I						M	0	0	0, 4, 1		0	0
4	4	0	0	2/2	1	1	V43	D	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
5	5	0	0	2/2	1	1	I6	D	I		I6		I		6				M	0	0	4, 1, 0		0	4
6	6	0	0	2/2	1	1	IV	D	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
7	7	0	0	2/2	1	1	V(64)	D	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
8	8	0	0	2/2	1	1	V	D	I		V		V						M	0	0	1, 5, 2		1	1
8	8	1/2	1/2	2/2	1	1	V7	D	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	0	2/2	1	1	I(+7#2)	D	I		I(+7#2)		I			+7#2			M	0	0	0, 9, 1	5	0	0
10	10	0	0	2/2	1	1	I	D	I		I		I						M	0	0	0, 4, 1		0	0
11	11	0	0	2/2	1	1	V7	D	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	0	2/2	1	1	I(4)	D	I		I(4)		I			4			M	0	0	0, -1, 1		0	0
13	13	1/2	1/2	2/2	1	1	I	D	I		I		I						M	0	0	0, 4, 1		0	0
14	14	0	0	2/2	1	1	V43	D	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
15	15	0	0	2/2	1	1	I6(4)	D	I		I6(4)		I		6	4			M	0	0	-1, 1, 0		0	-1
15	15	1/2	1/2	2/2	1	1	I	D	I		I		I						M	0	0	0, 4, 1		0	0
16	16	0	0	2/2	1	1	#viio65/ii	D	I		#viio65/ii		#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
17	17	0	0	2/2	1	1	ii6	D	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
21	21	0	0	2/2	1	1	viio6/IV	D	I		viio6/IV		vii	o	6		IV		o	0	0	1, -2, 4		4	1
22	22	0	0	2/2	1	1	IV6(#7)	D	I		IV6(#7)		IV		6	#7			M	0	0	3, 0, 11		-1	3
22	22	1/4	1/4	2/2	1	1	IV6	D	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
22	22	3/4	3/4	2/2	1	1	viio6/V	D	I		viio6/V		vii	o	6		V		o	0	0	3, 0, 6		6	3
23	23	0	0	2/2	1	1	V6(#7)	D	I		V6(#7)		V		6	#7			M	0	0	5, 2, 6		1	5
23	23	1/4	1/4	2/2	1	1	V6	D	I		V6		V		6				M	0	0	5, 2, 1		1	5
