mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	1.5	1/8	1/8	2/4	4	1		A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	1	2	2.0	0	0	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	4	2.0	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	3	6	2.0	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	4	8	2.0	0	0	2/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	10	0.5	0	0	2/4	4	1		IV(#2)	A	I		IV(#2)	IV			#2				M	0	0	-1, 8, 0		-1	-1
6	5	21/2	0.5	1/8	1/8	2/4	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	11	1.0	1/4	1/4	2/4	4	1		V65/II	A	I		V65/II	V		65		II			Mm7	0	0	7, 4, 1, 3		3	7
7	6	12	0.5	0	0	2/4	4	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
7	6	25/2	0.5	1/8	1/8	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	13	0.5	1/4	1/4	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
7	6	27/2	0.5	3/8	3/8	2/4	4	1		V43/V	A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
8	7	14	2.0	0	0	2/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	16	2.0	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
10	9	18	2.0	0	0	2/4	4	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	10	20	2.0	0	0	2/4	4	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	11	22	2.0	0	0	2/4	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
