mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.Bb.I	0.191596	-4.25611	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	2/4	1	1	V65	-0.439027	-4.25611	dcml	Bb	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
1	1	3/8	3/8	2/4	1	1	I	0.731711	-4.25611	dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
2	2	0	0	2/4	1	1	V7	0.146342	-4.2561	dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
2	2	1/4	1/4	2/4	1	1	#vio65			dcml	Bb	I		#vio65		#vi	o	65				o7	0	0	7, 4, 1, 10		10	7
2	2	3/8	3/8	2/4	1	1	V7			dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	3	0	0	2/4	1	1	I64			dcml	Bb	I		I64		I		64				M	0	0	1, 0, 4		0	1
3	3	1/4	1/4	2/4	1	1	#iio7			dcml	Bb	I		#iio7		#ii	o	7				o7	0	0	9, 6, 3, 0		9	9
3	3	3/8	3/8	2/4	1	1	I6			dcml	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
4	4	0	0	2/4	1	1	V7/V			dcml	Bb	I		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
4	4	1/4	1/4	2/4	1	1	V7	0.73171	-2.64634	dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	2/4	1	1	I\\			dcml	Bb	I		I		I					\\	M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	2/4	1	1	V43			dcml	Bb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
5	5	3/8	3/8	2/4	1	1	I			dcml	Bb	I		I		I						M	0	0	0, 4, 1		0	0
6	6	0	0	2/4	1	1	V			dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
6	6	1/8	1/8	2/4	1	1	V7			dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	1/4	1/4	2/4	1	1	#vio2			dcml	Bb	I		#vio2		#vi	o	2				o7	0	0	1, 10, 7, 4		10	1
6	6	3/8	3/8	2/4	1	1	V7			dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	2/4	1	1	I64	0.73171	-2.5	dcml	Bb	I		I64		I		64				M	0	0	1, 0, 4		0	1
8	8	0	0	2/4	1	1	V7/V			dcml	Bb	I		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
8	8	1/4	1/4	2/4	1	1	V			dcml	Bb	I		V		V						M	0	0	1, 5, 2		1	1
8	8	7/16	7/16	2/4	1	1	V7			dcml	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	0	2/4	1	1	V7/IV			dcml	Bb	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
9	9	1/4	1/4	2/4	1	1	IV			dcml	Bb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
9	9	7/16	7/16	2/4	1	1	ii6			dcml	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
10	10	0	0	2/4	1	1	V2(4)			dcml	Bb	I		V2(4)		V		2	4			Mm7	0	0	-1, 1, 0, 2		1	-1
