mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	6/8	4	1		A.I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	2	3	9.0	0	0	6/8	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	5	12	3.0	0	0	6/8	4	1		I[IV	A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	15	4.5	0	0	6/8	4	1		V2	A	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	39/2	3.0	3/8	3/8	6/8	4	1		I6	A	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
8	8	45/2	1.5	3/8	3/8	6/8	4	1		viio6/IV	A	I	I	viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
9	9	24	3.0	0	0	6/8	4	1		IV	A	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	27	1.5	0	0	6/8	4	1		V2	A	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	57/2	1.5	3/8	3/8	6/8	4	1		viio6	A	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
11	11	30	3.0	0	0	6/8	4	1		I6]	A	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
12	12	33	3.0	0	0	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	36	3.0	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	39	1.5	0	0	6/8	4	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	81/2	1.5	3/8	3/8	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
15	15	42	3.0	0	0	6/8	4	1		I\\	A	I		I	I						\\	M	0	0	0, 4, 1		0	0
16	16	45	3.0	0	0	6/8	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	48	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	99/2	1.5	3/8	3/8	6/8	4	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
18	18	51	1.5	0	0	6/8	4	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
18	18	105/2	1.5	3/8	3/8	6/8	4	1		iv6	A	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
19	19	54	1.5	0	0	6/8	4	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
19	19	111/2	1.5	3/8	3/8	6/8	4	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
20	20	57	1.5	0	0	6/8	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
