mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Ab.I[I64		Ab	I	I	I64	I			64				M	0	0	1, 0, 4		0.0	1.0
3	3	0	V(2)/V		Ab	I	I	V(2)/V	V				2	V		M	0	0	4, 6, 3		2.0	4.0
3	3	1/8	viio7		Ab	I	I	viio7	vii		o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
3	3	1/4	I]		Ab	I	I	I	I							M	0	0	0, 4, 1		0.0	0.0
4	4	0	IV6		Ab	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
4	4	1/16	V65		Ab	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
4	4	1/8	I		Ab	I		I	I							M	0	0	0, 4, 1		0.0	0.0
4	4	1/4	I6		Ab	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
5	5	0	V		Ab	I		V	V							M	0	0	1, 5, 2		1.0	1.0
6	6	0	I		Ab	I		I	I							M	0	0	0, 4, 1		0.0	0.0
7	7	0	#viio65/vi		Ab	I		#viio65/vi	#vii		o	65		vi		o7	0	0	5, 2, -1, 8		8.0	5.0
7	7	1/4	IV6		Ab	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
8	8	0	V6/vi		Ab	I		V6/vi	V			6		vi		M	0	0	8, 5, 4		4.0	8.0
8	8	1/8	vi		Ab	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
8	8	3/16	vi6		Ab	I		vi6	vi			6				m	0	0	0, 4, 3		3.0	0.0
8	8	1/4	V(64)/V		Ab	I		V(64)/V	V				64	V		M	0	0	2, 1, 5		2.0	2.0
8	8	5/16	V7/V		Ab	I		V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
9	9	0	V(9#74)		Ab	I		V(9#74)	V				9#74			M	0	0	1, 0, 2	3, 6	1.0	1.0
9	9	1/8	V\\		Ab	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
10	10	0	V2		Ab	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
10	10	1/8	I6		Ab	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
10	10	1/4	V64		Ab	I		V64	V			64				M	0	0	2, 1, 5		1.0	2.0
11	11	0	I		Ab	I		I	I							M	0	0	0, 4, 1		0.0	0.0
11	11	1/4	I64		Ab	I		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
11	11	5/16	ii43		Ab	I		ii43	ii			43				mm7	0	0	3, 0, 2, -1		2.0	3.0
12	12	0	V2/IV		Ab	I		V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0.0	-2.0
12	12	1/8	IV6		Ab	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
12	12	1/4	V43/IV		Ab	I		V43/IV	V			43		IV		Mm7	0	0	1, -2, 0, 4		0.0	1.0
13	13	0	IV		Ab	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
13	13	1/4	V65/IV		Ab	I		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0.0	4.0
13	13	5/16	IV		Ab	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
14	14	0	V6(6)/ii		Ab	I		V6(6)/ii	V			6	6	ii		M	0	0	7, -1, 3		3.0	7.0
