mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3.0	0	1/2	3/4	4	1		F.I		F	I		I	I							M	0	0	0, 4, 1		0	0
2	1	3	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	4	1.0	0	0	3/4	4	1		V2(6)		F	I		V2(6)	V		2	6				Mm7	0	0	-1, 1, 5, 4		1	-1
3	2	5	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	2	6	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
4	3	7	1.0	0	0	3/4	4	1		vi7(4)		F	I		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
4	3	8	1.0	1/4	1/4	3/4	4	1		vi7		F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	3	9	1.0	1/2	1/2	3/4	4	1		I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
5	4	10	1.0	0	0	3/4	4	1		V2(+4)		F	I		V2(+4)	V		2	+4				Mm7	0	0	-1, 1, 5, 2	0	1	-1
5	4	11	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	4	12	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
6	5	13	1.0	0	0	3/4	4	1		I(+2)		F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
6	5	14	1.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
6	5	15	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	6	16	1.0	0	0	3/4	4	1		V2(6)		F	I		V2(6)	V		2	6				Mm7	0	0	-1, 1, 5, 4		1	-1
7	6	17	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	18	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
8	7	19	1.0	0	0	3/4	4	1		vi(4)		F	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
8	7	20	1.0	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
8	7	21	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
9	8	22	1.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
9	8	23	1.0	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
9	8	24	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
10	9	25	2.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	9	27	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	28	1.0	0	0	3/4	4	1		V2(64)		F	I		V2(64)	V		2	64				Mm7	0	0	-1, 1, 0, 4		1	-1
11	10	29	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	30	1.0	1/2	1/2	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	31	1.0	0	0	3/4	4	1		vi7(4)		F	I		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
12	11	32	1.0	1/4	1/4	3/4	4	1		vi43		F	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
12	11	33	1.0	1/2	1/2	3/4	4	1		I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
13	12	34	1.0	0	0	3/4	4	1		IV(+2)		F	I		IV(+2)	IV			+2				M	0	0	-1, 3, 0	1	-1	-1
13	12	35	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	36	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
14	13	37	1.0	0	0	3/4	4	1		I(+2)		F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
14	13	38	1.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
14	13	39	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	40	1.0	0	0	3/4	4	1		V2(64)		F	I		V2(64)	V		2	64				Mm7	0	0	-1, 1, 0, 4		1	-1
15	14	41	1.0	1/4	1/4	3/4	4	1		V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	14	42	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
16	15	43	1.0	0	0	3/4	4	1		vi7(4)		F	I		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
16	15	44	1.0	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
16	15	45	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
17	16	46	1.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
17	16	47	2.0	1/4	1/4	3/4	4	1		V2/IV		F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
18	17	49	19.0	0	0	3/4	4	1		V2/IV		F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
24	23	68	3.0	1/4	1/4	3/4	4	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
25	24	71	2.0	1/4	1/4	3/4	4	1		V[V6		F	I	V	V6	V		6					M	0	0	5, 2, 1		1	5
26	25	73	2.0	0	0	3/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
26	25	75	1.0	1/2	1/2	3/4	4	1		I6		F	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
27	26	76	1.0	0	0	3/4	4	1		vii%7/V		F	I	V	vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
27	26	77	1.0	1/4	1/4	3/4	4	1		V(4)		F	I	V	V(4)	V			4				M	0	0	1, 0, 2		1	1
27	26	78	1.0	1/2	1/2	3/4	4	1		V		F	I	V	V	V							M	0	0	1, 5, 2		1	1
28	27	79	1.0	0	0	3/4	4	1		vi(4)		F	I	V	vi(4)	vi			4				m	0	0	3, 2, 4		3	3
28	27	80	1.0	1/4	1/4	3/4	4	1		vi		F	I	V	vi	vi							m	0	0	3, 0, 4		3	3
28	27	81	1.0	1/2	1/2	3/4	4	1		i64		F	I	V	i64	i		64					m	0	0	1, 0, -3		0	1
29	28	82	1.0	0	0	3/4	4	1		viio/V		F	I	V	viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
29	28	83	1.0	1/4	1/4	3/4	4	1		V6/V		F	I	V	V6/V	V		6		V			M	0	0	6, 3, 2		2	6
29	28	84	1.0	1/2	1/2	3/4	4	1		viio2		F	I	V	viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
30	29	85	1.0	0	0	3/4	4	1		I(97)		F	I	V	I(97)	I			97				M	0	0	0, 4, 1	2, 5	0	0
30	29	86	2.0	1/4	1/4	3/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
31	30	88	1.0	0	0	3/4	4	1		vii%7/V		F	I	V	vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
31	30	89	1.0	1/4	1/4	3/4	4	1		V(4)		F	I	V	V(4)	V			4				M	0	0	1, 0, 2		1	1
31	30	90	1.0	1/2	1/2	3/4	4	1		V		F	I	V	V	V							M	0	0	1, 5, 2		1	1
32	31	91	1.0	0	0	3/4	4	1		viio7(6)/V		F	I	V	viio7(6)/V	vii	o	7	6	V			o7	0	0	6, 3, 2, -3		6	6
32	31	92	1.0	1/4	1/4	3/4	4	1		viio7/V		F	I	V	viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
32	31	93	1.0	1/2	1/2	3/4	4	1		viio6		F	I	V	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
33	32	94	1.0	0	0	3/4	4	1		I6]\\		F	I	V	I6	I		6				\\	M	0	0	4, 1, 0		0	4
33	32	95	3.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
34	33	98	2.0	1/4	1/4	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
35	34	100	1.0	0	0	3/4	4	1		ii(2)		F	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
35	34	101	1.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
35	34	102	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
36	35	103	1.0	0	0	3/4	4	1		vi6(4)		F	I		vi6(4)	vi		6	4				m	0	0	2, 4, 3		3	2
36	35	104	1.0	1/4	1/4	3/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
36	35	105	2.0	1/2	1/2	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
37	36	107	3.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
38	37	110	2.0	1/4	1/4	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
39	38	112	1.0	0	0	3/4	4	1		ii(2)		F	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
39	38	113	2.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
40	39	115	1.0	0	0	3/4	4	1		vi6(4)		F	I		vi6(4)	vi		6	4				m	0	0	2, 4, 3		3	2
40	39	116	1.0	1/4	1/4	3/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
40	39	117	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
41	40	118	2.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
41	40	120	1.0	1/2	1/2	3/4	4	1		V7/IV		F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
42	41	121	3.0	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	42	124	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
43	42	125	1.0	1/4	1/4	3/4	4	1		IV(4)		F	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
43	42	126	1.0	1/2	1/2	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
44	43	127	2.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
44	43	129	1.0	1/2	1/2	3/4	4	1		iv6/ii		F	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
45	44	130	1.0	0	0	3/4	4	1		V/ii		F	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
