"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".f.V6"	""	1	1.0	1.0	"2/4"	2.0	"f"	"I"	""	"V"	""	"6"	""	""	false
"i"	""	1	1.0	3.0	"2/4"	0.5	"f"	"I"	""	"i"	""	""	""	""	false
"V43"	""	1	1.5	3.5	"2/4"	1.0	"f"	"I"	""	"V"	""	"43"	""	""	false
"V6"	""	1	2.5	4.5	"2/4"	0.5	"f"	"I"	""	"V"	""	"6"	""	""	false
"i"	""	2	1.0	5.0	"2/4"	0.5	"f"	"I"	""	"i"	""	""	""	""	false
"V43"	""	2	1.5	5.5	"2/4"	1.0	"f"	"I"	""	"V"	""	"43"	""	""	false
"V/iv"	""	2	2.5	6.5	"2/4"	0.5	"f"	"I"	""	"V"	""	""	""	"iv"	false
"iv(4)"	""	3	1.0	7.0	"2/4"	0.25	"f"	"I"	""	"iv"	""	""	"4"	""	false
"iv"	""	3	1.25	7.25	"2/4"	0.25	"f"	"I"	""	"iv"	""	""	""	""	false
"V(64)"	""	3	1.5	7.5	"2/4"	0.5	"f"	"I"	""	"V"	""	""	"64"	""	false
".Ger6"	""	3	2.0	8.0	"2/4"	1.0	"f"	"I"	""	"Ger"	""	"6"	""	""	false
"V[V(64)"	""	4	1.0	9.0	"2/4"	0.875	"f"	"I"	"V"	"V"	""	""	"64"	""	false
"#viio43/V"	""	4	1.875	9.875	"2/4"	0.125	"f"	"I"	"V"	"#vii"	"o"	"43"	""	"V"	false
"V(+764)"	""	4	2.0	10.0	"2/4"	0.25	"f"	"I"	"V"	"V"	""	""	"+764"	""	false
"V]"	""	4	2.25	10.25	"2/4"	0.25	"f"	"I"	"V"	"V"	""	""	""	""	false
"#viio7/V"	""	4	2.5	10.5	"2/4"	1.0	"f"	"I"	""	"#vii"	"o"	"7"	""	"V"	false
"V6"	""	5	1.5	11.5	"2/4"	0.5	"f"	"I"	""	"V"	""	"6"	""	""	false
"VI6(7)"	""	5	2.0	12.0	"2/4"	0.25	"f"	"I"	""	"VI"	""	"6"	"7"	""	false
"VI6"	""	5	2.25	12.25	"2/4"	0.25	"f"	"I"	""	"VI"	""	"6"	""	""	false
"V7(9)"	""	5	2.5	12.5	"2/4"	0.5	"f"	"I"	""	"V"	""	"7"	"9"	""	false
"V43"	""	6	1.0	13.0	"2/4"	0.5	"f"	"I"	""	"V"	""	"43"	""	""	false
"V6"	""	6	1.5	13.5	"2/4"	0.5	"f"	"I"	""	"V"	""	"6"	""	""	false
"VI6(7)"	""	6	2.0	14.0	"2/4"	0.25	"f"	"I"	""	"VI"	""	"6"	"7"	""	false
"VI6"	""	6	2.25	14.25	"2/4"	0.25	"f"	"I"	""	"VI"	""	"6"	""	""	false
"V7(9)"	""	6	2.5	14.5	"2/4"	0.5	"f"	"I"	""	"V"	""	"7"	"9"	""	false
"V43"	""	7	1.0	15.0	"2/4"	6.5	"f"	"I"	""	"V"	""	"43"	""	""	false
"V43"	""	9	2.5	21.5	"6/8"	0.5	"f"	"I"	""	"V"	""	"43"	""	""	false
