mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0		0	3/4	4/4	1	1	1/4		1/4	1		1	55	G3	3	0
2	2	1	0.5		0	0	4/4	4	1	1/8		1/8	1		0	36	C2	2	13
2	2	1	3.0		0	0	4/4	3	1	3/4		1/2	3/2		-3	51	Eb3	3	11
2	2	1	3.0		0	0	4/4	2	1	3/4		1/2	3/2		1	55	G3	3	9
2	2	1	2.0		0	0	4/4	1	1	1/2		1/2	1	1	0	60	C4	4	1
2	2	3/2	0.5		1/8	1/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	14
2	2	2	0.5		1/4	1/4	4/4	4	1	1/8		1/8	1		0	48	C3	3	15
2	2	5/2	0.5		3/8	3/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	16
2	2	3	0.0		1/2	1/2	4/4	1	1	0	grace8after	1/8	1		0	60	C4	4	2
2	2	3	0.0		1/2	1/2	4/4	1	1	0	grace8after	1/8	1		2	62	D4	4	3
2	2	3	0.5		1/2	1/2	4/4	4	1	1/8		1/8	1		0	48	C3	3	17
2	2	3	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1	-1	0	60	C4	4	4
2	2	7/2	0.0		5/8	5/8	4/4	1	1	0	appoggiatura	1/8	1		5	59	B3	3	5
2	2	7/2	0.5		5/8	5/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	18
2	2	7/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		0	60	C4	4	6
2	2	4	0.5		3/4	3/4	4/4	4	1	1/8		1/8	1		0	48	C3	3	19
2	2	4	1.0		3/4	3/4	4/4	3	1	1/4		1/4	1		-1	53	F3	3	12
2	2	4	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	10
2	2	4	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		-3	63	Eb4	4	7
2	2	9/2	0.5		7/8	7/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	20
2	2	9/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		2	62	D4	4	8
3	3	5	0.5		0	0	4/4	4	1	1/8		1/8	1		0	48	C3	3	29
3	3	5	1.5		0	0	4/4	3	1	3/8		1/4	3/2		-4	56	Ab3	3	26
3	3	5	2.0		0	0	4/4	2	1	1/2		1/2	1		5	59	B3	3	24
3	3	5	2.0		0	0	4/4	1	1	1/2		1/2	1		2	62	D4	4	21
3	3	11/2	0.5		1/8	1/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	30
3	3	6	0.5		1/4	1/4	4/4	4	1	1/8		1/8	1		0	48	C3	3	31
3	3	13/2	0.5		3/8	3/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	32
3	3	13/2	0.5		3/8	3/8	4/4	3	1	1/8		1/8	1		-1	53	F3	3	27
3	3	7	0.5		1/2	1/2	4/4	4	1	1/8		1/8	1		0	48	C3	3	33
3	3	7	1.0		1/2	1/2	4/4	3	1	1/4		1/4	1		-3	51	Eb3	3	28
3	3	7	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	25
3	3	7	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		0	60	C4	4	22
3	3	15/2	0.5		5/8	5/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	34
3	3	8	0.5		3/4	3/4	4/4	4	1	1/8		1/8	1		0	48	C3	3	35
3	3	8	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		0	60	C4	4	23
3	3	17/2	0.5		7/8	7/8	4/4	4	1	1/8		1/8	1		0	48	C3	3	36
4	4	9	0.5		0	0	4/4	4	1	1/8		1/8	1		0	36	C2	2	49
