mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5		0	5/8	2/2	3	1	1/8	1/8	1		4	64	E4	4	0
1	1	1/2	0.5		1/8	3/4	2/2	3	1	1/8	1/8	1		6	66	F#4	4	1
1	1	1	0.5		1/4	7/8	2/2	3	1	1/8	1/8	1		4	64	E4	4	2
2	2	3/2	4.0		0	0	2/2	3	1	1	1	1	1	7	61	C#4	4	6
2	2	2	0.5		1/8	1/8	2/2	4	1	1/8	1/8	1		4	52	E3	3	7
2	2	5/2	0.5		1/4	1/4	2/2	4	1	1/8	1/8	1		6	54	F#3	3	8
2	2	3	0.5		3/8	3/8	2/2	4	1	1/8	1/8	1		4	52	E3	3	9
2	2	7/2	2.0		1/2	1/2	2/2	4	1	1/2	1/2	1	1	3	57	A3	3	10
2	2	4	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	3
2	2	9/2	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		6	78	F#5	5	4
2	2	5	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	5
3	3	11/2	1.0		0	0	2/2	4	1	1/4	1/4	1	-1	3	57	A3	3	24
3	3	11/2	2.0		0	0	2/2	3	1	1/2	1/2	1	-1	7	61	C#4	4	21
3	3	11/2	2.0		0	0	2/2	1	1	1/2	1/2	1	1	3	81	A5	5	11
3	3	6	0.5		1/8	1/8	2/2	2	1	1/8	1/8	1		4	64	E4	4	16
3	3	13/2	1.0		1/4	1/4	2/2	4	1	1/4	1/4	1		4	52	E3	3	25
3	3	13/2	0.5		1/4	1/4	2/2	2	1	1/8	1/8	1		6	66	F#4	4	17
3	3	7	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		4	64	E4	4	18
3	3	15/2	1.0		1/2	1/2	2/2	4	1	1/4	1/4	1		7	49	C#3	3	26
3	3	15/2	1.0		1/2	1/2	2/2	3	1	1/4	1/4	1		4	64	E4	4	22
3	3	15/2	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		3	69	A4	4	19
3	3	15/2	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1	-1	3	81	A5	5	12
3	3	8	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		7	85	C#6	6	13
3	3	17/2	1.0		3/4	3/4	2/2	4	1	1/4	1/4	1		3	45	A2	2	27
3	3	17/2	1.0		3/4	3/4	2/2	3	1	1/4	1/4	1		7	61	C#4	4	23
3	3	17/2	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		7	73	C#5	5	20
3	3	17/2	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		5	83	B5	5	14
3	3	9	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	15
4	4	19/2	2.0		0	0	2/2	4	1	1/2	1/2	1		4	40	E2	2	44
4	4	19/2	1.5		0	0	2/2	3	1	3/8	1/4	3/2		5	59	B3	3	40
4	4	19/2	1.5		0	0	2/2	2	1	3/8	1/4	3/2		2	74	D5	5	36
4	4	19/2	0.5		0	0	2/2	1	1	1/8	1/8	1		3	81	A5	5	28
4	4	10	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1		8	80	G#5	5	29
4	4	21/2	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1		6	78	F#5	5	30
4	4	11	0.5		3/8	3/8	2/2	3	1	1/8	1/8	1		2	62	D4	4	41
4	4	11	0.5		3/8	3/8	2/2	2	1	1/8	1/8	1		5	71	B4	4	37
4	4	11	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1		8	80	G#5	5	31
4	4	23/2	2.0		1/2	1/2	2/2	4	1	1/2	1/2	1		3	45	A2	2	45
4	4	23/2	1.5		1/2	1/2	2/2	3	1	3/8	1/4	3/2		3	57	A3	3	42
4	4	23/2	1.5		1/2	1/2	2/2	2	1	3/8	1/4	3/2		7	73	C#5	5	38
4	4	23/2	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1		3	81	A5	5	32
4	4	12	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		7	85	C#6	6	33
4	4	25/2	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		5	83	B5	5	34
4	4	13	0.5		7/8	7/8	2/2	3	1	1/8	1/8	1		7	61	C#4	4	43
4	4	13	0.5		7/8	7/8	2/2	2	1	1/8	1/8	1		3	69	A4	4	39
4	4	13	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		3	81	A5	5	35
5	5	27/2	2.0		0	0	2/2	4	1	1/2	1/2	1		4	40	E2	2	62
5	5	27/2	1.5		0	0	2/2	3	1	3/8	1/4	3/2		5	59	B3	3	58
5	5	27/2	1.5		0	0	2/2	2	1	3/8	1/4	3/2		2	74	D5	5	54
5	5	27/2	0.5		0	0	2/2	1	1	1/8	1/8	1		3	81	A5	5	46
5	5	14	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1		8	80	G#5	5	47
