mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	9/8	4	1	1/8		1/8	1		2	50		18
1	1	0	0	9/8	3	1	1/8		1/8	1		-1	53		9
1	1	0	0	9/8	2	1	1/8		1/8	1		3	57		0
1	1	1/8	1/8	9/8	4	1	1/8		1/8	1		2	50		19
1	1	1/8	1/8	9/8	3	1	1/8		1/8	1		-1	53		10
1	1	1/8	1/8	9/8	2	1	1/8		1/8	1		3	57		1
1	1	1/4	1/4	9/8	4	1	1/8		1/8	1		2	50		20
1	1	1/4	1/4	9/8	3	1	1/8		1/8	1		-1	53		11
1	1	1/4	1/4	9/8	2	1	1/8		1/8	1		3	57		2
1	1	3/8	3/8	9/8	4	1	1/8		1/8	1		-1	53		21
1	1	3/8	3/8	9/8	3	1	1/8		1/8	1		3	57		12
1	1	3/8	3/8	9/8	2	1	1/8		1/8	1		2	62		3
1	1	1/2	1/2	9/8	4	1	1/8		1/8	1		-1	53		22
1	1	1/2	1/2	9/8	3	1	1/8		1/8	1		3	57		13
1	1	1/2	1/2	9/8	2	1	1/8		1/8	1		2	62		4
1	1	5/8	5/8	9/8	4	1	1/8		1/8	1		-1	53		23
1	1	5/8	5/8	9/8	3	1	1/8		1/8	1		3	57		14
1	1	5/8	5/8	9/8	2	1	1/8		1/8	1		2	62		5
1	1	3/4	3/4	9/8	4	1	1/8		1/8	1		4	52		24
1	1	3/4	3/4	9/8	3	1	1/8		1/8	1		1	55		15
1	1	3/4	3/4	9/8	2	1	1/8		1/8	1		7	61		6
1	1	7/8	7/8	9/8	4	1	1/8		1/8	1		4	52		25
1	1	7/8	7/8	9/8	3	1	1/8		1/8	1		1	55		16
1	1	7/8	7/8	9/8	2	1	1/8		1/8	1		7	61		7
1	1	1	1	9/8	4	1	1/8		1/8	1		4	52		26
1	1	1	1	9/8	3	1	1/8		1/8	1		1	55		17
1	1	1	1	9/8	2	1	1/8		1/8	1		7	61		8
2	2	0	0	9/8	4	1	1/8		1/8	1		2	50		47
2	2	0	0	9/8	3	1	1/8		1/8	1		-1	53		38
2	2	0	0	9/8	2	1	1/8		1/8	1		2	62		29
2	2	0	0	9/8	1	1	3/4		1/2	3/2	1	3	69		27
2	2	1/8	1/8	9/8	4	1	1/8		1/8	1		2	50		48
2	2	1/8	1/8	9/8	3	1	1/8		1/8	1		-1	53		39
2	2	1/8	1/8	9/8	2	1	1/8		1/8	1		3	57		30
2	2	1/4	1/4	9/8	4	1	1/8		1/8	1		2	50		49
2	2	1/4	1/4	9/8	3	1	1/8		1/8	1		-1	53		40
2	2	1/4	1/4	9/8	2	1	1/8		1/8	1		3	57		31
2	2	3/8	3/8	9/8	4	1	1/8		1/8	1		-1	53		50
2	2	3/8	3/8	9/8	3	1	1/8		1/8	1		3	57		41
2	2	3/8	3/8	9/8	2	1	1/8		1/8	1		2	62		32
2	2	1/2	1/2	9/8	4	1	1/8		1/8	1		-1	53		51
2	2	1/2	1/2	9/8	3	1	1/8		1/8	1		3	57		42
2	2	1/2	1/2	9/8	2	1	1/8		1/8	1		2	62		33
2	2	5/8	5/8	9/8	4	1	1/8		1/8	1		-1	53		52
2	2	5/8	5/8	9/8	3	1	1/8		1/8	1		3	57		43
2	2	5/8	5/8	9/8	2	1	1/8		1/8	1		2	62		34
2	2	3/4	3/4	9/8	4	1	1/8		1/8	1		4	52		53
2	2	3/4	3/4	9/8	3	1	1/8		1/8	1		1	55		44
2	2	3/4	3/4	9/8	2	1	1/8		1/8	1		7	61		35
2	2	3/4	3/4	9/8	1	1	3/8		1/4	3/2	0	3	69		28
2	2	7/8	7/8	9/8	4	1	1/8		1/8	1		4	52		54
2	2	7/8	7/8	9/8	3	1	1/8		1/8	1		1	55		45
2	2	7/8	7/8	9/8	2	1	1/8		1/8	1		7	61		36
2	2	1	1	9/8	4	1	1/8		1/8	1		4	52		55
2	2	1	1	9/8	3	1	1/8		1/8	1		1	55		46
2	2	1	1	9/8	2	1	1/8		1/8	1		7	61		37
3	3	0	0	9/8	4	1	1/8		1/8	1		2	50		77
3	3	0	0	9/8	3	1	1/8		1/8	1		-1	53		68
3	3	0	0	9/8	2	1	1/8		1/8	1		2	62		59
3	3	0	0	9/8	1	1	3/8		1/4	3/2	-1	3	69		56
3	3	1/8	1/8	9/8	4	1	1/8		1/8	1		2	50		78
3	3	1/8	1/8	9/8	3	1	1/8		1/8	1		-1	53		69
3	3	1/8	1/8	9/8	2	1	1/8		1/8	1		3	57		60
3	3	1/4	1/4	9/8	4	1	1/8		1/8	1		2	50		79
3	3	1/4	1/4	9/8	3	1	1/8		1/8	1		-1	53		70
3	3	1/4	1/4	9/8	2	1	1/8		1/8	1		3	57		61
3	3	3/8	3/8	9/8	4	1	1/8		1/8	1		-1	53		80
3	3	3/8	3/8	9/8	3	1	1/8		1/8	1		3	57		71
3	3	3/8	3/8	9/8	2	1	1/8		1/8	1		2	62		62
3	3	3/8	3/8	9/8	1	1	3/8		1/4	3/2		2	74		57
3	3	1/2	1/2	9/8	4	1	1/8		1/8	1		-1	53		81
3	3	1/2	1/2	9/8	3	1	1/8		1/8	1		3	57		72
3	3	1/2	1/2	9/8	2	1	1/8		1/8	1		2	62		63
3	3	5/8	5/8	9/8	4	1	1/8		1/8	1		-1	53		82
3	3	5/8	5/8	9/8	3	1	1/8		1/8	1		3	57		73
3	3	5/8	5/8	9/8	2	1	1/8		1/8	1		2	62		64
3	3	3/4	3/4	9/8	2	1	1/8		1/8	1		3	57		65
3	3	3/4	3/4	9/8	4	1	1/8		1/8	1		3	57		83
3	3	3/4	3/4	9/8	3	1	1/8		1/8	1		7	61		74
3	3	3/4	3/4	9/8	2	1	1/8		1/8	1		4	64		65
3	3	3/4	3/4	9/8	1	1	3/8		1/4	3/2		4	76		58
3	3	7/8	7/8	9/8	2	1	1/8		1/8	1		3	57		66
3	3	7/8	7/8	9/8	4	1	1/8		1/8	1		3	57		84
3	3	7/8	7/8	9/8	3	1	1/8		1/8	1		7	61		75
3	3	7/8	7/8	9/8	2	1	1/8		1/8	1		4	64		66
3	3	1	1	9/8	2	1	1/8		1/8	1		3	57		67
3	3	1	1	9/8	4	1	1/8		1/8	1		3	57		85
3	3	1	1	9/8	3	1	1/8		1/8	1		7	61		76
3	3	1	1	9/8	2	1	1/8		1/8	1		4	64		67
4	4	0	0	9/8	3	1	1/8		1/8	1		2	62		106
4	4	0	0	9/8	4	1	1/8		1/8	1		2	62		115
4	4	0	0	9/8	2	1	1/8		1/8	1		-1	65		97
4	4	0	0	9/8	1	1	3/8		1/4	3/2	1	-1	77		86
4	4	1/8	1/8	9/8	4	1	1/8		1/8	1		2	50		116
4	4	1/8	1/8	9/8	3	1	1/8		1/8	1		-1	53		107
4	4	1/8	1/8	9/8	2	1	1/8		1/8	1		3	57		98
4	4	1/4	1/4	9/8	4	1	1/8		1/8	1		2	50		117
4	4	1/4	1/4	9/8	3	1	1/8		1/8	1		-1	53		108
4	4	1/4	1/4	9/8	2	1	1/8		1/8	1		3	57		99
4	4	3/8	3/8	9/8	4	1	1/8		1/8	1		2	50		118
4	4	3/8	3/8	9/8	3	1	1/8		1/8	1		-1	53		109
4	4	3/8	3/8	9/8	2	1	1/8		1/8	1		3	57		100
4	4	3/8	3/8	9/8	1	1	1/4		1/4	1	-1	-1	77		87
4	4	1/2	1/2	9/8	4	1	1/8		1/8	1		2	50		119
4	4	1/2	1/2	9/8	3	1	1/8		1/8	1		-1	53		110
4	4	1/2	1/2	9/8	2	1	1/8		1/8	1		3	57		101
4	4	5/8	5/8	9/8	4	1	1/8		1/8	1		2	50		120
4	4	5/8	5/8	9/8	3	1	1/8		1/8	1		-1	53		111
4	4	5/8	5/8	9/8	2	1	1/8		1/8	1		3	57		102
4	4	5/8	5/8	9/8	1	1	1/16		1/16	1		4	76		88
4	4	11/16	11/16	9/8	1	1	1/16		1/16	1		2	74		89
4	4	3/4	3/4	9/8	4	1	1/8		1/8	1		2	50		121
4	4	3/4	3/4	9/8	3	1	1/8		1/8	1		-1	53		112
4	4	3/4	3/4	9/8	2	1	1/8		1/8	1		-2	58		103
4	4	3/4	3/4	9/8	1	1	1/16		1/16	1		2	74		90
4	4	13/16	13/16	9/8	1	1	1/32		1/32	1		4	76		91
4	4	27/32	27/32	9/8	1	1	1/32		1/32	1		2	74		92
4	4	7/8	7/8	9/8	4	1	1/8		1/8	1		2	50		122
4	4	7/8	7/8	9/8	3	1	1/8		1/8	1		-1	53		113
4	4	7/8	7/8	9/8	2	1	1/8		1/8	1		-2	58		104
